timestamp,symbol,side,price,quantity,order_id,api_response,pnl,signal_reason,strategy_state
2026-03-18T11:07:59.576798,BTC/USD,HOLD,73814.38,0,,,,SVM prediction based on SMA features,"{'sma3': 74202.80333333333, 'sma10': 71667.959, 'momentum': -0.0012850875721288335, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:08:09.884197,BTC/USD,HOLD,73837.43,0,,,,SVM prediction based on SMA features,"{'sma3': 74210.48333333334, 'sma10': 71670.263, 'momentum': -0.0009733543897552669, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:08:20.145649,BTC/USD,HOLD,73834.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74209.34000000001, 'sma10': 71669.92, 'momentum': -0.0010197625848741667, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:08:30.402168,BTC/USD,HOLD,73843.66,0,,,,SVM prediction based on SMA features,"{'sma3': 74212.56333333334, 'sma10': 71670.887, 'momentum': -0.0008889266528623315, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:08:40.661094,BTC/USD,HOLD,73856.38,0,,,,SVM prediction based on SMA features,"{'sma3': 74216.80333333333, 'sma10': 71672.159, 'momentum': -0.0007168239584268613, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:08:50.932650,BTC/USD,HOLD,73856.61,0,,,,SVM prediction based on SMA features,"{'sma3': 74217.97666666667, 'sma10': 71672.511, 'momentum': -0.0006691980555643616, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:09:01.182377,BTC/USD,HOLD,73872.54,0,,,,SVM prediction based on SMA features,"{'sma3': 74222.19, 'sma10': 71673.775, 'momentum': -0.0004981777680121568, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:09:11.441056,BTC/USD,HOLD,73872.53,0,,,,SVM prediction based on SMA features,"{'sma3': 74222.18666666666, 'sma10': 71673.774, 'momentum': -0.0004983130688724912, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:09:21.689630,BTC/USD,HOLD,73879.05,0,,,,SVM prediction based on SMA features,"{'sma3': 74224.36333333333, 'sma10': 71674.427, 'momentum': -0.00040996160702789076, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:09:31.973921,BTC/USD,HOLD,73894.04,0,,,,SVM prediction based on SMA features,"{'sma3': 74229.35666666667, 'sma10': 71675.925, 'momentum': -0.00020728091814090915, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:09:42.258318,BTC/USD,HOLD,73903.42,0,,,,SVM prediction based on SMA features,"{'sma3': 74232.48333333334, 'sma10': 71676.863, 'momentum': -8.036871108073901e-05, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:09:52.531606,BTC/USD,HOLD,73927.92,0,,,,SVM prediction based on SMA features,"{'sma3': 74240.65000000001, 'sma10': 71679.313, 'momentum': 0.0002511183969120781, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:10:02.786727,BTC/USD,HOLD,73948.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74247.34333333334, 'sma10': 71681.321, 'momentum': 0.0005228025246058065, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
